name,short_description,description,platform,genre
Grand Theft Auto V,"An action-adventure game set in an open-world environment, following the lives of three criminals as they plan and execute a series of heists.","Embark on an epic journey through the bustling streets of Los Angeles and the surrounding countryside as you navigate the criminal underworld, engage in thrilling heists, and build your own empire in this sprawling open-world action-adventure game.","PlayStation 3, PlayStation 4, Xbox 360, Xbox One, Microsoft Windows","Action, Adventure"
Red Dead Redemption 2,"A Western-themed action-adventure game that explores the life of Arthur Morgan, a member of the Van der Linde gang, in a vast open-world setting.","Journey into the unforgiving heart of the Wild West in this epic open-world action-adventure game. Live the life of an outlaw as you ride through breathtaking landscapes, engage in intense gunfights, and forge your own path in a world filled with danger and opportunity.","PlayStation 4, Xbox One, Microsoft Windows","Action, Adventure"
God of War,"A third-person action-adventure game that follows Kratos, the Spartan warrior, and his son Atreus as they embark on a journey through Norse mythology.","Ascend the treacherous peaks of the Norse realm in this heart-stopping action-adventure game. Follow Kratos, a disgraced warrior, on his perilous journey to protect his son from the clutches of the gods. Engage in brutal combat, solve intricate puzzles, and unravel the mysteries of a new mythology.","PlayStation 4, Microsoft Windows","Action, Adventure"
Portal 2,"A puzzle-platformer that challenges players to navigate through a series of test chambers using the handheld portal device, introducing new characters and a compelling story.","Step into the Aperture Science Enrichment Center once again in this mind-bending puzzle-platform game. Armed with the portal gun, you must manipulate space and time to navigate through challenging test chambers, outsmart mischievous AI assistants, and unravel the dark secrets of the facility.","PC, PlayStation 3, Xbox 360, Android, Linux, macOS, iOS, PlayStation 4, Xbox One, Nintendo Switch","Puzzle, Action"
BioShock,"A first-person shooter with elements of role-playing, set in the underwater city of Rapture, where players explore a dystopian world filled with moral choices.","Descend into the depths of Rapture, an underwater city gone awry, in this immersive first-person shooter game. Armed with an array of weapons and plasmids, you must battle mutated creatures, explore the city's sunken districts, and uncover the truth behind its downfall.","PC, Xbox 360, PlayStation 3, iOS, Android, Microsoft Windows, PlayStation 4, Xbox One, Nintendo Switch","Action, Adventure"
The Legend of Zelda: Breath of the Wild,"An action-adventure game set in an open-world environment, featuring Link as he explores the kingdom of Hyrule, solving puzzles and battling enemies.","Explore a vast and breathtaking open world in this critically acclaimed action-adventure game. As Link, face treacherous trials, solve intricate puzzles, and battle fearsome enemies as you embark on a quest to save Hyrule from the clutches of Calamity Ganon.",Nintendo Switch,"Action, Adventure"
The Witcher 3: Wild Hunt,"An action role-playing game that follows Geralt of Rivia on his quest to find his adopted daughter, featuring a rich narrative and open-world exploration.","Immerse yourself in a sprawling fantasy world filled with mythical creatures, political intrigue, and personal conflicts in this epic action role-playing game. As Geralt of Rivia, a monster hunter for hire, you must navigate a world fraught with danger, make difficult choices, and unravel the prophecy of the Child of Elder Blood.","PC, PlayStation 4, Xbox One","Action, Adventure"
The Last of Us,"An action-adventure game that explores the post-apocalyptic world through the eyes of Joel and Ellie, focusing on their relationship as they navigate dangers.","Journey through a post-apocalyptic United States in this gripping action-adventure game. Follow Joel and Ellie, a young girl with a mysterious immunity, as they traverse the ravaged landscape, fight for survival, and uncover the hope that lies amidst the darkness.",PlayStation 3,"Action, Adventure"
Uncharted 2: Among Thieves,"A third-person action-adventure game that follows Nathan Drake on a quest for Marco Polo's lost fleet, featuring intense action and cinematic storytelling.","Embark on a thrilling adventure across the globe in this action-adventure game filled with cinematic action and captivating storytelling. Follow Nathan Drake, a charismatic treasure hunter, as he uncovers ancient secrets, faces perilous dangers, and searches for the lost city of Shambhala.",PlayStation 3,"Action, Adventure"
Journey,"An indie adventure game where players explore a vast desert, encountering other players on the same journey, fostering cooperation without direct communication.","Embark on an unforgettable adventure across a vast and desolate desert in this heartwarming action-puzzle game. As a cloaked figure, you must traverse treacherous terrains, solve ingenious puzzles, and connect with other travelers along the way, forming bonds that transcend language and time.",PlayStation 3,"Adventure, Puzzle"
Shadow of the Colossus,An action-adventure game that follows Wander as he defeats colossal creatures in a hauntingly beautiful world to resurrect a young woman named Mono.,"Journey through a desolate land filled with colossal enemies in this epic action-adventure game. As Wander, a lone warrior, you must confront these towering creatures using your wits, agility, and a magical sword, each encounter presenting a unique and challenging puzzle to solve.","PlayStation 2, PlayStation 3, PlayStation 4","Action, Adventure, Puzzle"
Braid,"A puzzle-platformer with time-manipulation mechanics, challenging players to solve intricate puzzles while exploring a visually captivating world.","Manipulate the flow of time to solve intricate puzzles in this mind-bending platformer. As a young boy, you must navigate through a fantastical world filled with challenges, using your ability to rewind, fast forward, and even reverse time to overcome obstacles, unravel mysteries, and uncover the truth behind your journey.","PC, Xbox 360, PlayStation 3, iOS, macOS, Android, Linux, PlayStation Vita, Wii U, Nintendo Switch","Platformer, Puzzle"
The Witness,"A first-person puzzle game set on a mysterious island, where players solve puzzles that gradually reveal the island's secrets.","Explore a mysterious island filled with cryptic puzzles in this serene and thought-provoking adventure game. As a solitary figure, you must decipher the island's secrets by solving intricate laser puzzles, each one testing your logic, spatial reasoning, and ability to see patterns in seemingly random arrangements.","PC, PlayStation 4, iOS, Xbox One, Nintendo Switch","Adventure, Puzzle"
The Talos Principle,A first-person puzzle game that challenges players with increasingly complex puzzles while exploring philosophical themes.,"Venture into a simulated world filled with philosophical questions and challenging puzzles in this first-person action-puzzle game. As a digital entity awakened in a mysterious facility, you must navigate through a series of tests, solve mind-bending puzzles, and confront your own existence as you unravel the secrets of the Talos Principle.","PC, PlayStation 4, Xbox One, Android, iOS, Nintendo Switch","Action, Puzzle, Adventure"
INSIDE,"A side-scrolling platformer with puzzle elements, featuring a boy's journey through a dystopian world filled with dark secrets.","Embark on a surreal and atmospheric journey through a dystopian world in this award-winning puzzle-platformer. As a nameless boy, you must navigate through treacherous environments, solve challenging puzzles, and encounter enigmatic creatures as you delve into the dark and mysterious heart of the game's world.","PC, Xbox One, PlayStation 4, iOS, Nintendo Switch","Puzzle, Platform, Adventure"
Horizon Zero Dawn,"An action role-playing game set in a post-apocalyptic world where robotic creatures roam, following Aloy's quest to uncover the truth of her world.","Explore a post-apocalyptic world overrun by machines in this action-adventure game. As Aloy, a skilled huntress, you must battle robotic creatures, uncover the secrets of the ancient past, and unravel your own destiny in a world teeming with mysteries and dangers.","PlayStation 4, Microsoft Windows","Action, Adventure"
Uncharted 4: A Thief's End,"A third-person action-adventure game that concludes Nathan Drake's story, featuring cinematic storytelling and thrilling set-piece moments.","Embark on a globe-spanning adventure filled with cinematic action and captivating storytelling in this action-adventure game. Join Nathan Drake, a seasoned treasure hunter, as he embarks on his final quest, facing treacherous foes, deciphering ancient clues, and uncovering the truth about his long-lost brother.",PlayStation 4,"Action, Adventure"
Batman: Arkham Asylum,"An action-adventure game that follows Batman as he navigates Arkham Asylum, facing off against iconic villains in a dark and atmospheric setting.","Experience the dark and gritty world of Gotham City in this action-adventure game filled with intense combat, intricate puzzles, and stealthy gameplay. As Batman, you must confront the Joker and his band of villains, navigate the treacherous depths of Arkham Asylum, and unravel the sinister plot that threatens to consume the city.","PC, PlayStation 3, Xbox 360","Action, Adventure"
Metal Gear Solid V: The Phantom Pain,"A stealth-action game that follows Venom Snake in a vast open-world setting, featuring complex narrative twists and innovative gameplay.","Immerse yourself in a vast open world filled with danger and intrigue in this action-adventure game. As the legendary mercenary Snake, you must build your own army, infiltrate enemy strongholds, and execute daring missions as you seek revenge and uncover the truth behind your past.","PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One","Action, Adventure"
Limbo,"A puzzle-platformer with a monochromatic aesthetic, following a boy's journey through a haunting and atmospheric world.","Experience a monochromatic world filled with puzzles and perils in this atmospheric puzzle-platformer. As a young boy, you must navigate through treacherous landscapes, solve intricate puzzles, and escape from monstrous creatures as you journey through a world shrouded in darkness and mystery.","PC, Xbox 360, PlayStation 3, PlayStation Vita, iOS, Android, Linux, macOS, Nintendo Switch","Puzzle, Platform, Adventure"
Oxenfree,A supernatural thriller adventure game that follows a group of friends who accidentally open a ghostly rift while on an overnight island party.,"Engage in a supernatural thriller set in a rural town in this point-and-click adventure game. As a group of friends, you must investigate a mysterious signal emitting from the depths of a nearby forest, facing eerie occurrences, uncovering hidden secrets, and making choices that will determine the fate of your group.","PC, Xbox One, PlayStation 4, iOS, Android, Nintendo Switch, Amazon Fire TV","Adventure, Puzzle"
The Gardens Between,"A puzzle-adventure game where players manipulate time to guide two friends through surreal, dreamlike islands.","Manipulate the flow of time to solve puzzles and uncover the story of two friends in this heartwarming puzzle-platformer. As Arina and Curtis, you must traverse through fantastical gardens, harness the power of time to navigate through obstacles, and uncover the mysteries that have brought you together once again.","PC, PlayStation 4, Xbox One, iOS, Nintendo Switch","Puzzle, Platform, Adventure"
Talos Principle,An atmospheric puzzle game that challenges players with increasingly complex puzzles in a beautifully rendered world.,"Venture into a simulated world filled with philosophical questions and challenging puzzles in this first-person action-puzzle game. As a digital entity awakened in a mysterious facility, you must navigate through a series of tests, solve mind-bending puzzles, and confront your own existence as you unravel the secrets of the Talos Principle.","PC, PlayStation 4, Xbox One, Android, iOS, Nintendo Switch","Action, Puzzle, Adventure"
Antichamber,"A mind-bending first-person puzzle game that subverts traditional expectations, featuring non-Euclidean geometry and optical illusions.","Delve into a mind-bending labyrinth of perplexing architecture and optical illusions in this first-person puzzle game. As you explore the ever-shifting environment, you must challenge your perception of reality and solve intricate puzzles to progress further into the enigmatic depths of the game.","PC, PlayStation 4, Xbox One, iOS, Android, Linux, macOS, Nintendo Switch","Puzzle, Platform, Adventure"
Quern: Unraveling Time,"A puzzle-adventure game set on a mysterious island, where players explore ancient ruins and solve intricate puzzles.","Experience a breathtaking journey through time and space in this atmospheric puzzle-platformer. As Ayana, a young woman seeking the truth behind her mysterious past, you must navigate through a series of mesmerizing environments, solve challenging puzzles, and manipulate the flow of time to uncover the secrets of the universe.","PC, PlayStation 4, Xbox One, iOS, Android, Nintendo Switch","Puzzle, Platform, Adventure"
The Swapper,A puzzle-platformer that challenges players with the use of a cloning device to solve intricate puzzles on an abandoned space station.,"Embark on a thrilling adventure through a desolate moon base in this innovative puzzle-platformer. As Robert Foster, a stranded engineer, you must use a device that allows you to swap your consciousness with other bodies to solve puzzles, uncover the secrets of the base, and find a way to escape from the desolate lunar landscape.","PC, PlayStation 4, Xbox One, iOS, macOS, Android, Linux","Puzzle, Platform, Adventure"
Antigraviator,A high-speed anti-gravity racing game featuring futuristic tracks and fast-paced gameplay.,"Experience a high-speed, gravity-defying adventure in this adrenaline-pumping arcade racer. As a skilled pilot, you must navigate through treacherous courses, avoid obstacles, and outmaneuver your opponents using a variety of gravity-manipulating skills.","PC, PlayStation 4, Xbox One","Racing, Arcade, Action"
VVVVVV,"A challenging indie platformer with a gravity-flipping mechanic, where players navigate a pixel-art world filled with hazards.","Ascend the treacherous depths of a procedurally generated world in this retro-inspired platformer. As Captain Viridian, you must navigate through challenging levels, avoid deadly traps, and acquire upgrades to progress further into the depths of the game.","PC, PlayStation 4, Xbox One, iOS, Android, Linux, macOS, Nintendo Switch","Platform, Action, Puzzle"
Hyper Parasite,A rogue-like twin-stick shooter where players control a parasite that can take over the bodies of various characters.,"Unleash a swarm of parasitic creatures to solve puzzles and battle enemies in this innovative puzzle-platformer. As a scientist infected by a parasitic organism, you must manipulate your body, strategize your attacks, and solve puzzles to unravel the mysteries of the facility and find a cure for your affliction.","PC, PlayStation 4, Xbox One","Puzzle, Platform, Action"
Gorogoa,"A unique puzzle game with beautifully hand-drawn illustrations, allowing players to manipulate panels to solve intricate puzzles.","Explore a hand-drawn world filled with intricate puzzles and surreal imagery in this minimalist puzzle game. As you navigate through the game's interconnected panels, you must manipulate the perspectives and manipulate the world to solve puzzles and uncover hidden secrets.","PC, iOS, Android, Nintendo Switch","Puzzle, Platform, Adventure"
The Solus Project,"A first-person survival game set on an alien planet, where players must explore and uncover the mysteries of an abandoned civilization.","Journey to a desolate ice planet in search of a lost colony in this atmospheric puzzle-adventure game. As Alex, a lone astronaut, you must explore the frozen wasteland, decipher cryptic messages, and solve intricate puzzles to unravel the mysteries of the colony's disappearance.","PC, PlayStation 4, Xbox One","Puzzle, Adventure"
Superliminal,"A first-person puzzle game that plays with perspective and perception, challenging players to solve puzzles in a dreamlike environment.","Manipulate the size and perspective of your surroundings to solve puzzles and uncover hidden secrets in this mind-bending puzzle-platformer. As Sam, a newly hired employee at Mnemonic Solutions, you must navigate through surreal environments, manipulate the laws of physics, and confront the mysteries of the company's research.","PC, PlayStation 4, Nintendo Switch","Puzzle, Platform, Adventure"
